"","statefp","name","state_name","LON","LAT"
"492","47","McNairy","Tennessee",-88.5647812019965,-88.5647812019965
"493","31","Johnson","Nebraska",-96.2652275340712,-96.2652275340712
"494","29","Montgomery","Missouri",-91.4700072088603,-91.4700072088603
"495","40","Alfalfa","Oklahoma",-98.3240851420286,-98.3240851420286
"496","18","Johnson","Indiana",-86.1014910689541,-86.1014910689541
"497","18","Lawrence","Indiana",-86.4836162897421,-86.4836162897421
"498","72","Morovis","Puerto Rico",-66.4216146992889,-66.4216146992889
"499","13","Thomas","Georgia",-83.9184369720044,-83.9184369720044
"500","12","Lafayette","Florida",-83.1819115582128,-83.1819115582128
"501","31","Garfield","Nebraska",-98.9911182720622,-98.9911182720622
"502","40","Lincoln","Oklahoma",-96.8812462039227,-96.8812462039227
"503","05","Johnson","Arkansas",-93.4603636822221,-93.4603636822221
"504","17","Henry","Illinois",-90.1329616610919,-90.1329616610919
"505","27","Benton","Minnesota",-93.9951413547629,-93.9951413547629
"506","05","Ashley","Arkansas",-91.770136837954,-91.770136837954
"507","28","Tippah","Mississippi",-88.9074100051781,-88.9074100051781
"508","13","Schley","Georgia",-84.3178753298095,-84.3178753298095
"509","28","Stone","Mississippi",-89.1154753933159,-89.1154753933159
"510","55","Portage","Wisconsin",-89.5015296535515,-89.5015296535515
"511","02","Bristol Bay","Alaska",-156.704423583953,-156.704423583953
"512","20","Crawford","Kansas",-94.8524577777175,-94.8524577777175
"513","48","Dallam","Texas",-102.602072532102,-102.602072532102
"514","29","Clark","Missouri",-91.7366167715543,-91.7366167715543
"515","40","Garfield","Oklahoma",-97.7826551700161,-97.7826551700161
"516","21","Larue","Kentucky",-85.7014051330302,-85.7014051330302
"517","13","Pierce","Georgia",-82.2159844234392,-82.2159844234392
"518","20","Grant","Kansas",-101.30797577292,-101.30797577292
"519","55","Taylor","Wisconsin",-90.5004404983906,-90.5004404983906
"520","48","Fisher","Texas",-100.401930245685,-100.401930245685
"521","26","Van Buren","Michigan",-86.0193093048702,-86.0193093048702
"522","37","Guilford","North Carolina",-79.7882079523062,-79.7882079523062
"523","48","Floyd","Texas",-101.303154588349,-101.303154588349
"524","20","Cloud","Kansas",-97.6492534283128,-97.6492534283128
"525","29","Gentry","Missouri",-94.4094441883198,-94.4094441883198
"526","48","Hill","Texas",-97.1342353371755,-97.1342353371755
"527","19","Winneshiek","Iowa",-91.8442272172248,-91.8442272172248
"528","47","Polk","Tennessee",-84.5207585948818,-84.5207585948818
"529","48","Cass","Texas",-94.3442766167299,-94.3442766167299
"530","13","Worth","Georgia",-83.8506589108707,-83.8506589108707
"531","26","Clinton","Michigan",-84.6014615141875,-84.6014615141875
"532","48","Dimmit","Texas",-99.756450946439,-99.756450946439
"533","27","Anoka","Minnesota",-93.2459767640952,-93.2459767640952
"534","48","Archer","Texas",-98.6875458865386,-98.6875458865386
"535","46","Hanson","South Dakota",-97.7871514777023,-97.7871514777023
"536","17","Grundy","Illinois",-88.4190305441243,-88.4190305441243
"537","55","Lincoln","Wisconsin",-89.7341127280268,-89.7341127280268
"538","53","Franklin","Washington",-118.902102676733,-118.902102676733
"539","39","Clark","Ohio",-83.7849820410234,-83.7849820410234
"540","05","Scott","Arkansas",-94.0632176007285,-94.0632176007285
"541","20","Kingman","Kansas",-98.1363814324945,-98.1363814324945
"542","39","Franklin","Ohio",-83.011157548441,-83.011157548441
"543","40","Garvin","Oklahoma",-97.3081113209188,-97.3081113209188
"544","46","McCook","South Dakota",-97.3686314390903,-97.3686314390903
"545","48","Milam","Texas",-96.977252618461,-96.977252618461
"546","48","Jefferson","Texas",-94.1643417072427,-94.1643417072427
"547","54","Grant","West Virginia",-79.1944051799274,-79.1944051799274
"548","55","Monroe","Wisconsin",-90.6188361150652,-90.6188361150652
"549","72","Cidra","Puerto Rico",-66.161494364642,-66.161494364642
"550","28","Calhoun","Mississippi",-89.3368664728034,-89.3368664728034
"551","01","Bibb","Alabama",-87.125114602094,-87.125114602094
"552","48","Knox","Texas",-99.7422906038174,-99.7422906038174
"553","19","Fremont","Iowa",-95.6012726750483,-95.6012726750483
"554","17","Bond","Illinois",-89.4353488733853,-89.4353488733853
"555","42","Warren","Pennsylvania",-79.2740771409156,-79.2740771409156
"556","46","Bennett","South Dakota",-101.666567445324,-101.666567445324
"557","72","Barceloneta","Puerto Rico",-66.5577247506633,-66.5577247506633
"558","18","Madison","Indiana",-85.7196471089637,-85.7196471089637
"559","04","Greenlee","Arizona",-109.240527942051,-109.240527942051
"560","05","Miller","Arkansas",-93.8922359497519,-93.8922359497519
"561","17","Jo Daviess","Illinois",-90.2109440494898,-90.2109440494898
"562","20","Stevens","Kansas",-101.311896737658,-101.311896737658
"563","29","Mercer","Missouri",-93.5682958968601,-93.5682958968601
"564","31","Sheridan","Nebraska",-102.402207848536,-102.402207848536
"565","34","Atlantic","New Jersey",-74.6584848326672,-74.6584848326672
"566","21","Clinton","Kentucky",-85.1337752895143,-85.1337752895143
"567","38","Cass","North Dakota",-97.2471399906141,-97.2471399906141
"568","48","Marion","Texas",-94.3566122989935,-94.3566122989935
"569","51","Grayson","Virginia",-81.2325631922005,-81.2325631922005
"570","40","Love","Oklahoma",-97.2390678448514,-97.2390678448514
"571","17","Clay","Illinois",-88.4891451265227,-88.4891451265227
"572","48","Irion","Texas",-100.982438994382,-100.982438994382
"573","26","Oscoda","Michigan",-84.1294162451042,-84.1294162451042
"574","17","Putnam","Illinois",-89.2869271974718,-89.2869271974718
"575","17","Knox","Illinois",-90.2133034019455,-90.2133034019455
"576","48","Lipscomb","Texas",-100.273315144505,-100.273315144505
"577","48","Culberson","Texas",-104.518573949322,-104.518573949322
"578","27","Murray","Minnesota",-95.7632848194361,-95.7632848194361
"579","48","Young","Texas",-98.6879088492707,-98.6879088492707
"580","29","Madison","Missouri",-90.346714299655,-90.346714299655
"581","54","Mingo","West Virginia",-82.133383650029,-82.133383650029
"582","17","De Witt","Illinois",-88.9095968166798,-88.9095968166798
"583","40","Atoka","Oklahoma",-96.038024865411,-96.038024865411
"584","20","Trego","Kansas",-99.8728444769311,-99.8728444769311
"585","18","Newton","Indiana",-87.3963576802609,-87.3963576802609
"586","18","Fayette","Indiana",-85.1779754073107,-85.1779754073107
"587","19","Monroe","Iowa",-92.8690667009568,-92.8690667009568
"588","37","Yadkin","North Carolina",-80.6623100264095,-80.6623100264095
"589","20","Pottawatomie","Kansas",-96.3426912809912,-96.3426912809912
"590","17","Cass","Illinois",-90.2473443590032,-90.2473443590032
"591","13","Polk","Georgia",-85.1894880192836,-85.1894880192836
"592","29","Osage","Missouri",-91.8611192959979,-91.8611192959979
"593","20","Sumner","Kansas",-97.4772162106845,-97.4772162106845
"594","26","Kalamazoo","Michigan",-85.5302947040473,-85.5302947040473
"595","27","Douglas","Minnesota",-95.4533546870787,-95.4533546870787
"596","46","Jerauld","South Dakota",-98.6296597176393,-98.6296597176393
"597","55","Ozaukee","Wisconsin",-87.9462501362231,-87.9462501362231
"598","29","Chariton","Missouri",-92.9629191019106,-92.9629191019106
"599","38","Ransom","North Dakota",-97.6574250434488,-97.6574250434488
"600","29","Stoddard","Missouri",-89.9444155028338,-89.9444155028338
"601","53","Skagit","Washington",-121.768208850253,-121.768208850253
"602","72","Villalba","Puerto Rico",-66.4710119063759,-66.4710119063759
"603","26","Iosco","Michigan",-83.6348373491266,-83.6348373491266
"604","12","Manatee","Florida",-82.3183104416351,-82.3183104416351
"605","48","Runnels","Texas",-99.9761614760138,-99.9761614760138
"606","48","Armstrong","Texas",-101.357487365015,-101.357487365015
"607","13","Twiggs","Georgia",-83.4307866237534,-83.4307866237534
"608","41","Yamhill","Oregon",-123.307485482075,-123.307485482075
"609","13","Cobb","Georgia",-84.5761193149731,-84.5761193149731
"610","26","Alcona","Michigan",-83.5950855955036,-83.5950855955036
"611","26","Monroe","Michigan",-83.5370634129319,-83.5370634129319
"612","51","Roanoke","Virginia",-79.9622597336316,-79.9622597336316
"613","36","Westchester","New York",-73.7574177603797,-73.7574177603797
"614","54","Brooke","West Virginia",-80.5791533183901,-80.5791533183901
"615","51","Tazewell","Virginia",-81.5629652878662,-81.5629652878662
"616","13","Wilcox","Georgia",-83.4343855527359,-83.4343855527359
"617","20","Labette","Kansas",-95.298496788336,-95.298496788336
"618","24","Queen Anne's","Maryland",-76.0353097723858,-76.0353097723858
"619","26","St. Joseph","Michigan",-85.5279797943784,-85.5279797943784
"620","28","Tishomingo","Mississippi",-88.2391721869903,-88.2391721869903
"621","31","Keya Paha","Nebraska",-99.7134372892851,-99.7134372892851
"622","32","Humboldt","Nevada",-118.11094271518,-118.11094271518
"623","30","Gallatin","Montana",-111.169260117788,-111.169260117788
"624","40","Kay","Oklahoma",-97.1442143470913,-97.1442143470913
"625","46","Butte","South Dakota",-103.507931758829,-103.507931758829
"626","38","Grant","North Dakota",-101.640819954803,-101.640819954803
"627","49","Millard","Utah",-113.102032796532,-113.102032796532
"628","01","Dale","Alabama",-85.6108450736865,-85.6108450736865
"629","18","Jackson","Indiana",-86.0389121350145,-86.0389121350145
"630","19","Butler","Iowa",-92.7901597062211,-92.7901597062211
"631","20","Pawnee","Kansas",-99.2369233446702,-99.2369233446702
"632","21","Nelson","Kentucky",-85.4656951359757,-85.4656951359757
"633","53","Clallam","Washington",-123.927577546861,-123.927577546861
"634","48","Val Verde","Texas",-101.152520451008,-101.152520451008
"635","02","Skagway","Alaska",-135.336072455956,-135.336072455956
"636","06","Merced","California",-120.720903488212,-120.720903488212
"637","13","Wilkinson","Georgia",-83.1713974756408,-83.1713974756408
"638","13","Coweta","Georgia",-84.7615962675594,-84.7615962675594
"639","31","Dawson","Nebraska",-99.8201461013776,-99.8201461013776
"640","17","Livingston","Illinois",-88.5578475165115,-88.5578475165115
"641","19","Wapello","Iowa",-92.4095472768378,-92.4095472768378
"642","19","Benton","Iowa",-92.064635729922,-92.064635729922
"643","21","Washington","Kentucky",-85.1740762611557,-85.1740762611557
"644","22","Evangeline","Louisiana",-92.4019928451745,-92.4019928451745
"645","28","Sharkey","Mississippi",-90.8159538029834,-90.8159538029834
"646","30","Fergus","Montana",-109.224520824054,-109.224520824054
"647","35","Mora","New Mexico",-104.949771592761,-104.949771592761
"648","29","Scott","Missouri",-89.5647449287793,-89.5647449287793
"649","39","Coshocton","Ohio",-81.9172901835557,-81.9172901835557
"650","46","Jones","South Dakota",-100.694000817426,-100.694000817426
"651","47","Bradley","Tennessee",-84.8565095800448,-84.8565095800448
"652","47","Davidson","Tennessee",-86.7864605647289,-86.7864605647289
"653","48","Uvalde","Texas",-99.7622917232977,-99.7622917232977
"654","54","Calhoun","West Virginia",-81.1193458097809,-81.1193458097809
"655","54","Braxton","West Virginia",-80.7201221813349,-80.7201221813349
"656","55","Adams","Wisconsin",-89.7731167697745,-89.7731167697745
"657","72","Río Grande","Puerto Rico",-65.8128890945509,-65.8128890945509
"658","72","Salinas","Puerto Rico",-66.2579953593931,-66.2579953593931
"659","47","Rhea","Tennessee",-84.930766430985,-84.930766430985
"660","40","Ellis","Oklahoma",-99.7532457280226,-99.7532457280226
"661","48","Bailey","Texas",-102.829970724611,-102.829970724611
"662","42","Bedford","Pennsylvania",-78.4899844216515,-78.4899844216515
"663","51","Gloucester","Virginia",-76.5352433708888,-76.5352433708888
"664","19","Woodbury","Iowa",-96.0459439029783,-96.0459439029783
"665","28","Marshall","Mississippi",-89.5029946240578,-89.5029946240578
"666","13","Glynn","Georgia",-81.5381141171181,-81.5381141171181
"667","31","Dawes","Nebraska",-103.131377445861,-103.131377445861
"668","13","Long","Georgia",-81.7495237465204,-81.7495237465204
"669","17","Tazewell","Illinois",-89.5140466192373,-89.5140466192373
